08:50:15.272 :: ##### 프로그램 시작 #####
08:50:16.277 :: JIF :: 25-장 개시 10분 전
08:54:57.007 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:57.009 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:00.048 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:00.050 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:00.052 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:00.055 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:03.061 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:03.063 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:03.065 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:03.067 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:03.781 :: JIF :: 24-장 개시 5분 전
08:55:06.122 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:06.125 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:06.127 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:06.128 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:09.144 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:09.147 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:09.148 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:09.150 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:12.201 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:12.203 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:12.205 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:12.207 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:15.216 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:15.218 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:15.219 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:15.220 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:18.272 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:18.275 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:18.276 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:18.278 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:21.342 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:21.344 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:21.346 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:21.347 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:24.359 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:24.361 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:24.363 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:24.365 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:27.395 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:27.398 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:55:27.400 :: 당일 재매수 여부:False 당일 매수된 종목수:4
